deltat,AcX,AcY,AcZ,GravX,GravY,GravZ,OrX,OrY,OrZ,GyX,GyY,GyZ
50,-0.52,0.70,-0.37,-6.48,-7.31,0.80,30.19,-41.38,83.75,0.20,0.06,-0.03
50,-0.13,0.80,0.13,-6.46,-7.32,0.85,30.62,-41.25,83.37,0.19,-0.05,-0.15
50,-0.63,0.34,0.04,-6.46,-7.32,0.82,30.69,-41.25,83.56,-0.02,0.08,0.01
50,-0.39,0.62,-0.01,-6.48,-7.30,0.82,30.75,-41.25,83.56,0.09,-0.02,-0.07
50,-0.60,0.56,0.08,-6.52,-7.27,0.83,30.62,-41.56,83.50,0.09,0.03,-0.01
50,-0.30,0.26,0.22,-6.50,-7.28,0.85,30.62,-41.56,83.31,0.10,-0.03,-0.05
50,-0.78,-0.49,0.33,-6.45,-7.33,0.89,31.06,-41.13,83.00,0.22,-0.12,-0.28
50,4.53,-2.06,-18.97,-6.52,-7.09,-1.80,17.50,-41.69,104.25,1.14,1.70,5.24
50,13.21,31.52,5.94,-6.20,-7.23,2.30,39.50,-39.19,72.31,-3.42,-2.29,-1.40
50,2.87,17.14,3.97,-6.19,-7.29,2.15,37.94,-39.13,73.50,3.19,-0.28,-0.26
50,-1.10,6.01,1.33,-6.32,-7.27,1.78,36.31,-40.13,76.19,2.32,-0.04,0.05
50,-0.41,0.89,-0.42,-6.30,-7.30,1.72,35.88,-40.00,76.69,0.87,-0.04,0.07
50,-0.84,1.26,-0.80,-6.30,-7.33,1.61,35.75,-39.94,77.50,0.30,0.02,-0.08
50,-0.33,0.67,-1.39,-6.27,-7.36,1.59,35.81,-39.81,77.81,0.16,0.02,-0.05
50,-0.40,0.65,-0.58,-6.29,-7.34,1.61,35.75,-39.88,77.62,0.11,-0.03,0.10
50,-1.03,0.24,-0.53,-6.33,-7.30,1.64,35.38,-40.19,77.25,0.09,-0.05,0.12
50,-0.37,0.25,-0.75,-6.32,-7.31,1.63,35.38,-40.19,77.37,-0.07,0.05,-0.03
50,-1.31,0.14,-0.91,-6.35,-7.29,1.60,35.19,-40.31,77.56,-0.05,0.00,0.11
50,-0.94,0.26,-0.86,-6.34,-7.30,1.58,35.19,-40.31,77.75,-0.10,0.09,-0.06
50,-0.30,0.33,-1.17,-6.34,-7.32,1.50,35.38,-40.31,78.31,-0.02,0.06,-0.06
50,-0.49,0.58,-0.78,-6.33,-7.33,1.50,35.69,-40.25,78.37,0.09,0.05,-0.15
50,-0.76,0.54,-0.81,-6.34,-7.33,1.45,35.94,-40.31,78.75,0.03,0.10,0.03
50,-0.22,0.35,-0.66,-6.42,-7.28,1.34,35.69,-40.88,79.50,0.09,0.03,-0.04
50,-0.39,0.00,-0.91,-6.47,-7.25,1.24,35.63,-41.31,80.25,0.10,0.02,0.00
50,-0.84,0.00,-0.58,-6.52,-7.21,1.23,35.63,-41.69,80.25,0.15,0.04,0.07
50,-0.52,0.26,-0.39,-6.54,-7.19,1.25,35.88,-41.88,80.06,0.16,0.04,-0.04
50,-0.51,0.10,0.03,-6.55,-7.17,1.30,36.13,-41.94,79.69,0.17,-0.04,-0.09
50,-0.18,0.01,-0.51,-6.54,-7.18,1.32,36.44,-41.81,79.50,-0.03,0.06,-0.03
50,-0.33,-0.06,-0.44,-6.52,-7.20,1.32,36.81,-41.69,79.56,0.02,0.06,0.06
50,-0.16,0.51,-0.68,-6.51,-7.21,1.31,37.06,-41.56,79.62,0.04,0.08,-0.20
50,-0.11,0.73,-0.36,-6.49,-7.23,1.28,37.56,-41.44,79.94,0.10,0.12,-0.05
50,-0.15,0.47,-0.21,-6.51,-7.22,1.26,37.75,-41.56,80.06,0.03,0.11,0.04
50,-0.09,-0.12,-0.93,-6.52,-7.21,1.23,37.75,-41.69,80.25,0.03,0.05,0.01
50,-0.13,0.16,-0.35,-6.55,-7.19,1.24,38.00,-41.88,80.19,0.06,0.12,-0.01
50,0.24,0.58,-0.16,-6.56,-7.17,1.22,38.25,-42.00,80.25,0.05,0.09,0.08
50,-0.09,0.22,-0.23,-6.63,-7.12,1.20,37.94,-42.50,80.37,-0.02,0.08,0.22
50,-0.20,0.10,-0.08,-6.69,-7.06,1.17,37.50,-43.00,80.50,-0.12,0.05,0.12
50,-0.67,0.18,0.00,-6.74,-7.03,1.10,37.00,-43.44,81.06,-0.22,0.07,0.16
50,-0.91,0.04,0.03,-6.77,-7.01,1.00,36.31,-43.63,81.81,-0.33,-0.05,0.01
50,-0.84,0.36,-0.51,-6.78,-7.01,0.93,35.38,-43.75,82.44,-0.33,-0.15,0.21
50,-1.57,0.46,-0.81,-6.81,-6.99,0.90,34.00,-44.00,82.62,-0.29,-0.28,0.20
50,-0.65,0.57,-1.46,-6.80,-7.00,0.90,32.94,-43.88,82.62,-0.19,-0.30,-0.09
50,-1.31,0.15,-1.57,-6.82,-6.98,0.83,31.87,-44.13,83.12,-0.33,-0.08,0.06
50,-1.11,0.41,-2.21,-6.81,-7.00,0.81,31.25,-44.00,83.31,-0.15,-0.24,-0.09
50,-1.17,0.53,-1.17,-6.76,-7.04,0.88,31.06,-43.69,82.87,-0.09,-0.16,-0.11
50,0.13,0.23,-0.79,-6.68,-7.11,0.88,30.94,-43.13,83.06,0.16,-0.21,-0.28
50,0.03,0.51,0.11,-6.62,-7.17,0.91,31.12,-42.50,82.69,-0.10,-0.12,-0.11
50,0.40,0.78,0.03,-6.57,-7.21,0.87,31.06,-42.13,82.94,-0.22,-0.06,-0.03
50,0.28,0.56,-0.14,-6.61,-7.19,0.77,30.31,-42.31,83.62,-0.34,0.02,0.07
51,-0.61,0.17,-0.68,-6.66,-7.15,0.66,29.44,-42.69,84.50,-0.30,-0.02,0.18
50,-1.01,0.06,0.00,-6.71,-7.12,0.62,28.50,-43.13,84.87,-0.32,-0.16,0.09
50,-0.25,0.24,-0.57,-6.70,-7.13,0.58,27.69,-43.13,85.12,-0.28,-0.08,0.02
50,-1.51,0.15,-0.12,-6.75,-7.08,0.47,26.87,-43.44,85.94,-0.30,0.06,0.22
50,0.33,0.71,0.19,-6.73,-7.11,0.44,26.25,-43.44,86.44,-0.18,-0.21,-0.14
50,-0.71,0.33,-0.52,-6.75,-7.10,0.35,25.44,-43.44,87.00,-0.32,-0.06,0.16
50,0.22,0.40,-0.83,-6.74,-7.10,0.36,24.37,-43.56,87.19,-0.17,-0.37,-0.16
50,0.33,0.26,-0.64,-6.72,-7.12,0.36,23.87,-43.31,87.12,-0.09,-0.14,-0.14
50,-0.30,-0.52,-0.03,-6.75,-7.09,0.43,23.31,-43.44,86.56,0.05,-0.25,0.17
50,0.28,-0.16,-0.53,-6.74,-7.09,0.55,22.81,-43.44,85.69,0.04,-0.25,0.06
50,-0.77,-0.33,0.29,-6.80,-7.03,0.59,22.37,-43.81,85.12,0.07,0.00,0.18
50,-0.17,-0.17,0.96,-6.80,-7.02,0.65,22.37,-43.94,84.81,0.11,-0.07,0.00
50,0.75,0.35,0.35,-6.76,-7.06,0.69,22.62,-43.69,84.37,0.06,-0.04,-0.19
50,0.85,0.46,0.07,-6.76,-7.06,0.67,22.81,-43.63,84.62,0.03,0.04,-0.01
50,1.56,0.78,0.24,-6.76,-7.06,0.71,23.00,-43.56,84.25,0.06,-0.00,-0.03
50,0.59,1.01,-0.12,-6.82,-7.01,0.67,22.81,-44.00,84.50,-0.01,0.13,0.19
50,1.05,1.03,-0.23,-6.82,-7.01,0.66,22.87,-44.13,84.50,-0.03,0.07,-0.04
50,0.60,1.43,-0.31,-6.80,-7.02,0.68,23.37,-43.88,84.44,0.03,-0.01,-0.04
50,-0.12,0.56,-0.83,-6.79,-7.03,0.64,23.44,-43.94,84.62,-0.11,0.11,-0.04
50,-0.09,0.40,-0.94,-6.80,-7.03,0.61,23.69,-43.81,84.94,0.01,0.08,0.12
50,-0.52,-0.11,-1.12,-6.82,-7.00,0.64,23.56,-44.00,84.75,0.05,-0.05,0.05
50,-1.45,-0.63,-0.98,-6.90,-6.92,0.68,23.25,-44.56,84.44,0.27,0.08,0.28
50,-2.34,-1.34,-0.39,-6.99,-6.83,0.73,23.00,-45.38,84.00,0.22,0.02,0.26
50,-2.27,-0.84,-0.22,-7.04,-6.77,0.77,23.06,-45.75,83.44,0.12,0.09,0.23
50,-1.73,-1.10,-0.31,-7.03,-6.78,0.80,23.37,-45.88,83.19,0.27,0.03,-0.27
50,-3.10,-2.67,-0.62,-7.04,-6.77,0.75,23.81,-45.88,83.50,0.11,0.24,0.05
50,-5.17,-4.27,0.79,-7.09,-6.74,0.59,24.62,-46.19,84.69,0.07,0.56,0.07
50,-5.07,-4.16,0.27,-6.98,-6.85,0.64,25.44,-45.69,84.87,0.22,-0.22,-0.41
50,-2.52,-2.03,0.20,-6.80,-7.02,0.73,27.25,-44.13,83.94,0.14,0.14,-0.44
51,-1.50,0.37,-1.21,-6.64,-7.17,0.77,29.00,-43.00,84.19,0.24,-0.06,-0.53
50,0.82,4.34,-1.19,-6.39,-7.35,1.11,30.81,-41.00,81.62,0.33,-0.49,-0.48
50,3.71,5.87,-1.77,-6.07,-7.57,1.36,32.94,-38.69,79.87,0.28,-0.30,-0.81
50,4.24,6.83,-2.16,-5.79,-7.74,1.64,34.63,-36.63,78.19,0.29,-0.50,-0.70
50,5.27,7.90,-2.14,-5.59,-7.86,1.75,36.19,-34.81,77.31,0.22,0.06,-0.51
50,4.03,7.60,-1.51,-5.56,-7.89,1.71,37.19,-34.44,77.69,0.07,0.08,-0.04
50,4.37,7.77,-0.84,-5.54,-7.88,1.82,36.94,-34.38,76.94,0.30,-0.16,0.07
50,2.83,5.51,-0.85,-5.65,-7.82,1.70,36.13,-35.19,77.69,-0.28,0.17,0.36
50,0.99,0.25,0.68,-5.85,-7.71,1.57,34.25,-36.56,78.44,-0.30,0.08,0.72
50,-4.20,-3.66,0.21,-6.22,-7.45,1.34,31.12,-39.38,79.75,-0.64,0.17,0.97
50,-4.63,-5.27,-0.43,-6.46,-7.29,1.03,29.56,-41.25,81.87,-0.46,0.73,0.70
50,-6.02,-4.52,0.23,-6.73,-7.07,0.82,27.94,-43.38,83.31,0.07,-0.04,0.58
50,-5.74,-5.86,-1.13,-6.83,-6.98,0.83,26.56,-44.13,83.12,-0.44,0.09,0.85
50,-6.92,-5.01,1.21,-7.05,-6.75,0.87,25.69,-45.94,82.56,-0.21,0.32,0.35
50,-7.88,-6.27,2.60,-7.35,-6.43,0.79,23.50,-48.56,82.94,0.47,0.30,2.15
50,-4.74,-4.19,-0.56,-7.41,-6.31,1.09,24.31,-49.13,80.19,0.61,-0.34,-0.30
50,-3.12,-3.34,2.34,-7.16,-6.44,1.81,27.81,-46.94,74.19,1.73,-0.73,-0.66
50,-0.60,1.09,-0.65,-6.65,-6.64,2.77,34.75,-42.69,67.31,3.22,-0.48,-1.51
50,2.14,4.93,-1.46,-6.04,-6.78,3.69,41.06,-38.00,61.44,1.10,-0.59,-1.12
50,3.92,4.65,-3.78,-5.69,-7.09,3.66,43.75,-35.44,62.63,-0.41,0.32,-0.90
50,3.86,6.01,-2.97,-5.69,-7.29,3.23,44.88,-35.50,66.06,-0.82,0.82,0.04
50,2.48,4.66,-3.06,-5.71,-7.50,2.67,46.06,-35.63,70.37,-0.49,0.77,-0.80
50,2.65,5.41,-1.61,-5.65,-7.62,2.47,47.50,-35.13,72.00,-0.47,0.18,-0.17
50,2.39,4.20,-2.24,-5.69,-7.69,2.14,46.38,-35.44,74.37,-0.69,0.19,0.27
50,0.30,3.43,-0.71,-5.97,-7.56,1.78,44.50,-37.06,76.25,-0.64,0.39,0.75
50,0.45,2.03,-0.52,-6.17,-7.42,1.68,42.38,-38.88,77.12,-0.27,-0.11,0.34
50,-1.75,-0.87,0.30,-6.36,-7.28,1.62,40.94,-40.06,77.31,-0.18,0.07,0.68
50,-1.33,-2.94,0.07,-6.51,-7.14,1.61,39.13,-41.44,77.19,-0.28,-0.10,0.43
50,-3.97,-4.35,-0.38,-6.74,-6.95,1.51,37.31,-43.06,77.69,-0.03,0.15,0.71
50,-5.83,-4.96,0.14,-6.95,-6.71,1.62,35.44,-44.88,76.75,0.27,-0.34,0.60
50,-4.42,-4.05,0.40,-7.06,-6.54,1.82,34.19,-45.94,74.56,0.14,-0.13,0.30
50,-2.08,-2.44,-0.59,-7.12,-6.46,1.89,33.94,-46.50,73.81,0.29,0.02,0.17
50,-1.41,-1.70,1.13,-7.21,-6.31,2.04,33.69,-47.19,72.37,0.45,-0.09,0.32
50,0.21,-0.04,-1.64,-7.21,-6.31,2.05,34.13,-47.44,71.75,0.06,0.30,-0.25
50,0.44,0.53,-2.53,-7.19,-6.31,2.13,35.69,-47.19,71.56,0.86,0.27,-0.16
50,1.74,2.00,-0.47,-7.13,-6.33,2.27,38.63,-46.69,70.31,0.96,0.48,-0.39
50,0.62,1.64,0.62,-7.15,-6.28,2.32,40.50,-46.69,69.81,0.36,0.07,0.07
50,1.78,2.10,0.10,-7.17,-6.32,2.15,39.75,-46.88,70.50,-0.64,-0.13,0.07
50,0.50,1.32,-0.72,-7.24,-6.40,1.61,37.25,-47.38,75.00,-1.24,0.32,0.42
50,1.81,0.98,-1.01,-7.29,-6.40,1.38,35.38,-47.88,77.00,-0.73,-0.13,0.67
50,-2.23,-1.91,-1.03,-7.55,-6.21,0.71,31.56,-49.50,82.12,-1.94,0.70,1.45
50,-0.92,-0.36,-1.17,-7.74,-5.98,0.57,27.25,-51.94,84.44,-0.59,-0.24,0.55
50,-0.19,1.23,0.25,-7.82,-5.89,0.51,25.75,-52.69,84.50,0.04,0.16,0.35
50,-1.10,1.75,1.40,-8.17,-5.42,0.16,22.12,-55.56,88.25,-0.73,0.06,1.22
50,7.15,-13.43,-9.36,-7.39,-6.35,-1.03,18.50,-53.25,96.62,-3.39,2.54,-6.89
50,-0.78,20.39,-2.48,-9.19,-3.41,0.05,27.81,-60.13,95.87,10.75,1.97,10.88
50,2.91,-5.82,-4.62,-9.46,-2.46,0.77,19.25,-73.19,75.12,-3.44,-1.13,-1.78
50,2.12,0.12,-0.70,-9.69,-0.94,1.16,11.63,-80.06,48.31,2.86,-0.25,2.03
50,-4.17,1.69,-0.79,-9.68,0.14,1.54,12.44,-81.62,-4.44,2.28,-1.02,0.99
50,2.18,0.43,-0.81,-9.52,0.21,2.33,16.44,-77.06,-3.25,1.54,-1.83,-0.19
50,-1.91,5.31,0.01,-9.34,0.73,2.88,17.50,-73.19,-14.13,1.13,-1.31,0.47
50,-5.81,-1.56,-0.64,-8.83,1.26,4.05,11.00,-66.75,-16.62,-4.42,-3.04,5.15
50,6.15,0.58,-1.16,-8.07,1.58,5.33,6.25,-57.06,-12.25,0.93,-2.57,3.48
50,-2.20,8.21,-8.18,-7.43,0.88,6.33,354.44,-50.75,-11.81,-8.17,-1.89,1.53
50,7.40,-11.94,-5.50,-7.24,-1.07,6.51,341.50,-46.88,9.19,-5.14,0.18,0.18
50,-7.34,4.64,-0.81,-7.83,-0.52,5.86,333.06,-52.44,4.00,-2.58,1.75,2.29
50,4.49,-10.17,-4.40,-7.60,-1.64,5.97,329.38,-51.00,15.56,-0.71,-0.85,-2.03
50,3.37,3.97,-0.94,-7.33,-1.05,6.42,331.63,-49.00,10.38,2.03,-1.57,-1.61
51,3.28,-7.19,-4.31,-6.83,-1.09,6.94,334.31,-44.38,10.81,1.74,-1.05,-2.64
50,1.48,8.10,-0.41,-6.20,-0.02,7.59,338.69,-40.69,1.19,3.11,-2.45,-0.88
50,-0.63,-5.20,-1.84,-5.56,0.00,8.07,338.25,-35.19,0.25,-0.63,-1.18,1.18
50,3.08,9.71,0.93,-5.51,1.22,8.01,340.94,-33.75,-7.31,3.71,0.44,2.42
50,4.08,-7.21,-2.08,-5.72,0.84,7.91,339.50,-34.94,-5.94,-1.16,0.57,-0.46
50,2.22,4.31,-3.39,-6.03,2.20,7.40,340.13,-37.50,-15.06,3.98,0.66,-0.38
50,2.24,4.66,-0.49,-6.50,2.52,6.89,311.94,-41.50,-20.06,0.41,1.65,0.53
50,-3.44,-10.77,-0.79,-7.23,1.62,6.41,312.94,-47.56,-14.19,-0.74,1.27,-3.91
50,-8.62,5.27,0.26,-7.99,1.85,5.37,320.44,-54.56,-19.00,1.43,3.18,6.13
50,0.90,-1.40,-2.62,-8.09,1.26,5.38,323.88,-55.63,-13.13,-0.57,-1.89,-5.17
50,0.99,-3.12,-2.96,-8.06,-0.61,5.54,341.81,-55.31,6.31,3.00,-0.05,-2.51
50,2.29,5.47,0.21,-7.78,-0.32,5.94,347.13,-52.56,3.06,-2.21,0.72,0.27
50,4.15,-4.06,-0.04,-7.74,-2.93,5.25,358.63,-52.13,29.12,0.01,-0.41,-2.54
50,0.53,3.16,-3.52,-7.81,-1.96,5.59,356.50,-52.75,19.25,2.29,-0.62,2.37
50,-6.49,-8.40,-2.28,-7.67,-2.81,5.41,3.44,-51.50,27.44,-1.25,1.09,0.11
50,0.43,6.70,-0.68,-7.41,-2.30,5.99,11.06,-49.06,21.00,5.22,-1.05,-0.96
50,-0.40,-5.43,-2.76,-6.78,-2.75,6.52,20.62,-43.75,22.87,2.03,-1.40,-6.27
50,3.87,1.44,-2.20,-5.77,-3.14,7.27,47.69,-36.06,23.31,5.31,2.41,-4.02
50,-8.39,-3.01,-1.32,-6.93,-2.84,6.31,62.69,-45.00,24.25,2.19,5.31,-2.96
50,-0.71,-1.87,0.50,-7.17,-3.31,5.80,76.56,-47.00,29.75,2.11,0.68,-4.11
